Source	Target	Weight
103580	309000	4.45364
103581	203330	5.50731
103581	264010	4.86842
103581	601491	5.06568
103581	603233	4.65044
103581	605746	5.28079
103780	144650	3.95846
103780	277730	4.82023
103780	600084	3.62773
103780	606581	4.98687
103780	607834	4.17619
103800	252700	4.21623
103800	252930	4.01702
103800	252940	4.17559
103800	253200	4.11218
103800	253230	4.05476
103900	112410	5.38868
103900	201400	5.25839
103900	605115	4.57997
103900	605635	4.65528
103900	608622	4.19839
103920	145300	4.01914
103920	208600	4.25888
103920	605844	3.41498
103920	606257	4.25888
103920	607277	4.25612
104000	104110	5.07257
104000	190340	3.91243
104000	203655	4.59645
104000	601217	4.4265
104000	601941	4.30928
104100	104110	6.47102
104100	104130	5.0356
104100	125595	7.07107
104100	146520	6.47108
104100	151600	3.41352
104100	158000	6.74486
104100	161050	5.1014
104100	164800	5.66401
104100	177750	8.09911
104100	210210	4.99514
104100	211390	5.77873
104100	212360	5.41011
104100	227090	4.28855
104100	252200	8.09911
104100	601705	5.90031
104100	602032	5.67832
104110	104000	5.07257
104110	104100	6.47102
104110	125595	5.04733
104110	139650	5.11495
104110	177750	7.0959
104110	203655	6.24235
104110	210210	4.2098
104110	252200	7.0959
104110	300042	5.94164
104130	104100	5.0356
104130	167200	4.43652
104130	177750	4.59828
104130	203600	5.76456
104130	203650	5.06104
104130	211390	4.93302
104130	249400	4.33702
104130	608526	3.23264
104200	141200	5.1619
104200	153640	5.1371
104200	161900	5.62658
104200	203780	4.99531
104200	221200	5.34527
104290	119915	4.84012
104290	141500	4.95757
104290	167870	2.95524
104290	206570	4.07164
104290	231630	5.26657
104290	602066	5.10507
104290	602481	6.31065
104290	607516	5.13582
104290	608762	5.0435
104300	105150	3.83554
104300	143100	4.59762
104300	172700	4.14016
104300	190685	4.34492
104300	221770	4.05485
104300	600274	4.28725
104300	605055	4.19075
104310	105500	5.31263
104310	172700	5.75088
104310	176600	4.68137
104310	181500	4.60104
104310	260540	5.77782
104310	605055	6.42964
104310	606688	5.59363
104310	606889	6.67457
104310	608907	6.35851
104350	180700	5.53968
104350	182210	4.66847
104350	183802	5.40197
104350	201000	5.77054
104350	233500	5.45272
104350	600383	4.8147
104350	600736	5.98213
104350	600908	5.47214
104400	143050	5.37681
104400	228200	4.9695
104400	258200	4.67459
104400	266910	4.58461
104400	601360	6.09743
104400	602085	5.67989
104500	104510	6.17144
104500	104530	6.50707
104500	114120	6.29013
104500	125500	6.53165
104500	130900	8.26484
104500	204650	7.63884
104500	204700	8.10694
104500	226750	6.25311
104500	234580	5.45597
104500	248350	3.9609
104500	301200	7.63857
104500	301201	4.64002
104500	608563	7.86748
104510	104500	6.17144
104510	130900	6.36608
104510	190320	5.74316
104510	204650	6.22215
104510	234580	5.53527
104510	272700	5.49955
104510	301100	5.83488
104510	301200	6.34955
104510	601216	6.87094
104530	104500	6.50707
104530	104570	6.02642
104530	125300	6.34627
104530	125420	5.88823
104530	130900	7.08257
104530	204650	8.36763
104530	301200	6.67154
104530	301201	5.93142
104570	104530	6.02642
104570	125640	6.23969
104570	161000	6.06966
104570	204650	6.2331
104570	206600	5.62672
104600	102200	5.04561
104600	144800	4.30662
104600	230300	4.52424
104600	262710	3.78999
104600	264300	4.18793
105120	123540	3.60473
105120	134100	4.07942
105120	134200	3.64574
105120	155900	3.9406
105120	204870	3.92231
105150	104300	3.83554
105150	105210	3.80242
105150	174050	3.8998
105150	254800	3.63679
105150	601367	3.89386
105200	120100	4.573
105200	161900	4.48257
105200	191900	4.80171
105200	249100	4.18852
105200	254500	4.09632
105210	105150	3.80242
105210	108500	4.81818
105210	125310	4.38544
105210	141500	4.65102
105210	172500	4.18386
105210	192315	3.98195
105210	206570	4.03641
105210	600072	4.67401
105210	602481	4.52246
105210	607459	4.45113
105250	114030	4.56451
105250	155240	5.33914
105250	162260	4.32339
105250	165670	3.3374
105250	171420	4.6389
105250	211410	4.47515
105250	600634	4.16399
105300	182800	5.7988
105300	191650	3.07458
105300	191800	5.37895
105300	246555	6.52609
105300	300143	4.80152
105300	309560	4.83469
105400	105500	4.61169
105400	158700	4.9603
105400	182980	4.74669
105400	272800	4.53876
105400	600274	4.58024
105400	606353	4.27166
105500	104310	5.31263
105500	105400	4.61169
105500	105550	5.8921
105500	127750	5.08222
105500	168610	5.43523
105500	600274	5.12156
105550	105500	5.8921
105550	117300	4.98417
105550	172700	5.57261
105550	205200	5.01729
105550	221770	4.53067
105550	605055	6.74994
105550	606353	4.44072
105550	606688	5.5176
105550	606889	5.11217
105563	105565	4.96308
105563	176780	4.32654
105563	207620	3.53996
105563	301800	3.50497
105563	600145	5.07898
105565	105563	4.96308
105565	209770	4.1679
105565	603918	4.32798
105565	604329	4.28525
105565	607329	4.31853
105570	151020	5.12875
105570	157860	5.12875
105570	272370	4.18159
105570	312210	4.52901
105570	603206	6.00645
105580	131445	4.34255
105580	194090	4.50382
105580	268210	5.58727
105580	605982	4.39244
105580	607174	4.72832
105600	140700	4.4944
105600	142470	4.77438
105600	205950	4.40876
105600	219750	4.84464
105600	224100	5.95137
105600	224120	6.10565
105600	301300	4.62585
105600	305435	4.82026
105600	603902	4.21516
105650	205600	4.00655
105650	205900	3.95991
105650	224120	4.05744
105650	276822	4.06105
105650	606129	4.33969
105800	132900	3.75583
105800	173900	3.86817
105800	174050	4.72339
105800	601367	4.97606
105800	608542	6.99539
105805	108800	6.01615
105805	140500	5.80235
105805	212135	6.25722
105805	241550	5.34543
105805	246570	6.04897
105805	277200	5.32343
105805	607087	4.1745
105830	123450	4.41637
105830	176270	5.23459
105830	182290	4.61239
105830	190685	4.64049
105830	212065	4.70374
105830	215100	4.6824
105830	309400	4.61476
105830	309900	4.71337
105830	312750	4.76846
105830	601491	3.86353
105835	132400	5.92517
105835	140600	6.10819
105835	142669	5.96429
105835	170700	5.72137
105835	182260	6.2233
105835	271600	6.10286
105835	313400	5.0347
106050	163100	4.08913
106050	177350	4.41684
106050	234810	4.39501
106050	277175	3.75324
106050	305800	4.39881
106050	602089	4.05849
106070	116860	4.45203
106070	163000	4.94346
106070	300232	3.85257
106070	605627	3.82281
106070	608279	3.86432
106100	120790	4.06607
106100	212070	4.0402
106100	230800	4.17297
106100	300268	4.31971
106100	300400	3.96486
106200	106210	5.53544
106200	137357	5.79506
106200	194072	5.54559
106200	206750	7.27023
106200	603807	8.09612
106210	106200	5.53544
106210	194072	4.47839
106210	206750	4.97379
106210	310600	4.92841
106210	603807	4.94818
106220	106230	7.65493
106220	115660	5.63034
106220	123570	5.36464
106220	142730	4.61632
106220	156190	5.41624
106220	156700	6.05559
106230	106220	7.65493
106230	115660	7.38289
106230	116100	7.05113
106230	129750	5.2798
106230	136520	5.91706
106230	156190	5.66134
106230	239900	7.06637
106230	245450	4.94654
106230	315000	7.06637
106230	603807	5.30965
106240	143000	4.084
106240	159410	5.64069
106240	159420	6.11127
106240	165000	5.77462
106240	165098	5.13526
106240	185070	4.10177
106240	607034	5.10004
106250	119300	6.95944
106250	119580	6.64706
106250	179400	7.66722
106250	600990	6.99932
106250	601420	5.61209
106250	606713	7.67797
106250	608874	6.84593
106260	100300	5.35987
106260	129400	7.36188
106260	129900	6.44799
106260	147770	4.73094
106260	153400	4.80131
106260	209885	5.01354
106260	225000	7.33577
106260	225060	7.09597
106260	233500	5.95271
106260	275210	5.56979
106260	604292	6.57029
106280	108320	6.10081
106280	118330	4.32327
106280	120500	7.33014
106280	126190	4.04654
106280	127600	5.10627
106280	136400	7.03834
106280	137400	5.28917
